,,estimate
MBWM,2015-01-20,0.4
MBWM,2015-04-21,0.38
MBWM,2015-07-21,0.39
MBWM,2015-10-20,0.4
MBWM,2016-01-19,0.39
MBWM,2016-04-19,0.39
MBWM,2016-07-19,0.41
MBWM,2016-10-18,0.45
MBWM,2017-01-17,0.46
MBWM,2017-04-18,0.43
MBWM,2017-07-18,0.44
MBWM,2017-10-17,0.48
MBWM,2018-01-16,0.5
MBWM,2018-04-17,0.56
MBWM,2018-07-17,0.57
MBWM,2018-10-16,0.61
MBWM,2019-01-22,0.61
MBWM,2019-04-16,0.6
MBWM,2019-07-16,0.61
MBWM,2019-10-15,0.63
MBWM,2020-01-21,0.66
MBWM,2020-04-21,0.44
MBWM,2020-07-21,0.32
MBWM,2020-10-20,0.42
MBWM,2021-01-19,0.55
MBWM,2021-04-20,0.65
MBWM,2021-07-20,0.82
MBWM,2021-10-19,0.85
MBWM,2022-01-18,0.83
MBWM,2022-04-19,0.72
MBWM,2022-07-19,0.74
MBWM,2022-10-18,0.97
MBWM,2023-01-17,1.19
MBWM,2023-04-18,1.15
MBWM,2023-07-18,1.11
MBWM,2023-10-17,1.17
MBWM,2024-01-16,1.22
MBWM,2024-04-16,1.14
MBWM,2024-07-16,1.17
MBWM,2024-10-15,1.18
MBWM,2025-01-21,1.15
MBX,2024-11-07,2.72
MC,2015-02-05,0.6
MC,2015-04-29,0.36
MC,2015-07-29,0.32
MC,2015-10-28,0.4
MC,2016-02-09,0.51
MC,2016-04-27,0.31
MC,2016-08-03,0.31
MC,2016-10-26,0.34
MC,2017-02-08,0.6
MC,2017-04-25,0.42
MC,2017-07-24,0.51
MC,2017-10-25,0.42
MC,2018-02-07,0.43
MC,2018-04-23,0.7
MC,2018-07-23,0.57
MC,2018-10-22,0.63
MC,2019-02-06,0.67
MC,2019-04-30,0.19
MC,2019-07-30,0.34
MC,2019-10-30,0.51
MC,2020-02-05,0.25
MC,2020-04-22,0.37
MC,2020-07-29,0.14
MC,2020-10-26,0.02
MC,2021-02-10,1.33
MC,2021-04-28,0.75
MC,2021-07-21,0.82
MC,2021-10-27,1.36
MC,2022-02-09,1.48
MC,2022-04-27,0.74
MC,2022-07-27,0.41
MC,2022-11-02,0.32
MC,2023-02-08,0.37
MC,2023-04-26,0.11
MC,2023-07-26,0.02
MC,2023-11-02,0.05
MC,2024-02-07,0.11
MC,2024-04-24,0.11
MC,2024-07-24,0.11
MC,2024-10-23,0.2
MC,2025-02-05,0.46
MCB,2017-11-13,
MCB,2018-01-29,0.48
MCB,2018-04-25,0.68
MCB,2018-07-25,0.77
MCB,2018-10-25,0.74
MCB,2019-01-24,0.77
MCB,2019-04-24,0.77
MCB,2019-07-24,0.89
MCB,2019-10-23,0.8
MCB,2020-01-22,0.91
MCB,2020-04-20,0.88
MCB,2020-07-22,0.93
MCB,2020-10-21,0.98
MCB,2021-01-21,1.19
MCB,2021-04-21,1.26
MCB,2021-07-21,1.39
MCB,2021-10-20,1.61
MCB,2022-01-20,1.45
MCB,2022-04-21,1.51
MCB,2022-07-21,1.76
MCB,2022-10-20,2.34
MCB,2023-01-20,2.25
MCB,2023-04-18,1.65
MCB,2023-07-20,1.77
MCB,2023-10-19,1.76
MCB,2024-01-18,1.51
MCB,2024-04-18,1.28
MCB,2024-07-18,1.57
MCB,2024-10-17,1.55
MCB,2025-01-23,1.49
MCBS,2019-10-24,
MCBS,2020-01-24,0.45
MCBS,2020-04-24,0.43
MCBS,2020-07-24,0.25
MCBS,2020-10-23,0.32
MCBS,2021-01-22,0.37
MCBS,2021-04-23,0.43
MCBS,2021-07-23,0.55
MCBS,2021-10-22,0.6
MCBS,2022-01-24,
MCBS,2022-04-22,
MCBS,2022-07-22,
MCBS,2022-10-21,
MCBS,2023-01-23,
MCBS,2023-04-21,
MCBS,2023-07-21,
MCBS,2023-10-20,
MCBS,2024-01-23,
MCBS,2024-04-19,
MCBS,2024-07-19,
MCBS,2024-10-18,
MCBS,2025-01-21,
MCD,2015-01-23,1.2
MCD,2015-04-22,1.05
MCD,2015-07-23,1.23
MCD,2015-10-22,1.27
MCD,2016-01-25,1.23
MCD,2016-04-22,1.16
MCD,2016-07-26,1.38
MCD,2016-10-21,1.48
MCD,2017-01-23,1.41
MCD,2017-04-25,1.32
MCD,2017-07-25,1.62
MCD,2017-10-24,1.75
MCD,2018-01-30,1.59
MCD,2018-04-30,1.67
MCD,2018-07-26,1.92
MCD,2018-10-23,1.98
MCD,2019-01-30,1.9
MCD,2019-04-30,1.73
MCD,2019-07-26,2.06
MCD,2019-10-22,2.2
MCD,2020-01-29,1.96
MCD,2020-04-30,1.59
MCD,2020-07-28,0.76
MCD,2020-11-09,1.93
MCD,2021-01-28,1.75
MCD,2021-04-29,1.81
MCD,2021-07-28,2.12
MCD,2021-10-27,2.46
MCD,2022-01-27,2.31
MCD,2022-04-28,2.18
MCD,2022-07-26,2.45
MCD,2022-10-27,2.57
MCD,2023-01-31,2.46
MCD,2023-04-25,2.31
MCD,2023-07-27,2.77
MCD,2023-10-30,3.0
MCD,2024-02-05,2.81
MCD,2024-04-30,2.71
MCD,2024-07-29,3.08
MCD,2024-10-29,3.18
MCD,2025-02-10,2.83
MCFT,2015-09-17,0.19
MCFT,2015-11-05,0.27
MCFT,2016-02-04,0.09
MCFT,2016-05-05,0.25
MCFT,2016-09-08,0.27
MCFT,2016-11-10,0.34
MCFT,2017-02-09,0.27
MCFT,2017-05-11,0.29
MCFT,2017-09-07,0.32
MCFT,2017-11-09,0.4
MCFT,2018-02-08,0.32
MCFT,2018-05-10,0.46
MCFT,2018-09-06,0.5
MCFT,2018-11-08,0.5
MCFT,2019-02-07,0.57
MCFT,2019-05-09,0.65
MCFT,2019-09-12,0.79
MCFT,2019-11-07,0.42
MCFT,2020-02-05,0.33
MCFT,2020-05-06,0.51
MCFT,2020-09-09,0.3
MCFT,2020-11-11,0.31
MCFT,2021-02-10,0.49
MCFT,2021-05-12,0.68
MCFT,2021-09-02,0.77
MCFT,2021-11-10,0.54
MCFT,2022-02-03,0.75
MCFT,2022-05-11,1.01
MCFT,2022-09-08,1.46
MCFT,2022-11-09,1.27
MCFT,2023-02-08,0.97
MCFT,2023-05-10,1.0
MCFT,2023-08-30,1.03
MCFT,2023-11-08,0.37
MCFT,2024-02-07,0.2
MCFT,2024-05-08,0.21
MCFT,2024-08-29,0.25
MCFT,2024-11-06,0.0
MCFT,2025-02-06,0.04
MCHP,2015-01-29,0.56
MCHP,2015-05-07,0.62
MCHP,2015-08-03,0.66
MCHP,2015-11-04,0.57
MCHP,2016-02-03,0.55
MCHP,2016-05-04,0.6
MCHP,2016-08-08,0.68
MCHP,2016-11-07,0.76
MCHP,2017-02-07,0.81
MCHP,2017-05-09,0.99
MCHP,2017-08-03,1.14
MCHP,2017-11-06,1.28
MCHP,2018-02-06,1.27
MCHP,2018-05-08,1.27
MCHP,2018-08-09,1.4
MCHP,2018-11-07,1.65
MCHP,2019-02-05,1.45
MCHP,2019-05-07,1.25
MCHP,2019-08-06,1.25
MCHP,2019-11-05,1.3
MCHP,2020-02-04,1.13
MCHP,2020-05-07,1.24
MCHP,2020-08-04,1.32
MCHP,2020-11-05,1.27
MCHP,2021-02-04,1.45
MCHP,2021-05-06,1.59
MCHP,2021-08-03,1.76
MCHP,2021-11-04,0.98
MCHP,2022-02-03,1.08
MCHP,2022-05-09,1.17
MCHP,2022-08-02,1.27
MCHP,2022-11-03,1.37
MCHP,2023-02-02,1.48
MCHP,2023-05-04,1.55
MCHP,2023-08-03,1.56
MCHP,2023-11-02,1.55
MCHP,2024-02-01,0.99
MCHP,2024-05-06,0.5
MCHP,2024-08-01,0.46
MCHP,2024-11-05,0.37
MCHP,2025-02-06,0.21
MCHX,2015-02-25,0.01
MCHX,2015-05-06,0.01
MCHX,2015-08-05,0.01
MCHX,2015-11-04,0.0
MCHX,2016-02-18,0.02
MCHX,2016-05-05,0.06
MCHX,2016-08-09,0.06
MCHX,2016-11-02,0.1
MCHX,2017-02-16,0.07
MCHX,2017-05-04,0.08
MCHX,2017-08-02,0.05
MCHX,2017-11-02,0.03
MCHX,2018-02-15,0.02
MCHX,2018-05-03,0.03
MCHX,2018-08-01,0.02
MCHX,2018-11-05,0.02
MCHX,2019-02-13,0.01
MCHX,2019-05-02,0.02
MCHX,2019-08-07,0.02
MCHX,2019-11-06,0.04
MCHX,2020-02-12,0.03
MCHX,2020-05-11,0.06
MCHX,2020-08-10,0.11
MCHX,2020-11-04,0.08
MCHX,2021-03-02,0.11
MCHX,2021-05-13,0.13
MCHX,2021-08-05,0.1
MCHX,2021-11-09,0.05
MCHX,2022-03-02,0.06
MCHX,2022-05-12,0.05
MCHX,2022-08-09,0.04
MCHX,2022-11-03,0.03
MCHX,2023-02-28,0.04
MCHX,2023-05-04,0.07
MCHX,2023-08-03,0.09
MCHX,2023-11-08,0.05
MCHX,2024-03-14,0.03
MCHX,2024-05-07,0.03
MCHX,2024-08-08,0.03
MCHX,2024-10-31,0.02
MCK,2015-02-05,2.62
MCK,2015-05-12,2.75
MCK,2015-07-29,2.89
MCK,2015-10-29,2.97
MCK,2016-01-27,3.16
MCK,2016-05-04,3.01
MCK,2016-07-27,3.35
MCK,2016-10-27,3.05
MCK,2017-01-25,2.95
MCK,2017-05-18,3.04
MCK,2017-07-27,2.81
MCK,2017-10-26,2.78
MCK,2018-02-01,2.92
MCK,2018-05-24,3.54
MCK,2018-07-26,2.89
MCK,2018-10-25,3.28
MCK,2019-01-31,3.18
MCK,2019-05-08,3.66
MCK,2019-07-31,3.04
MCK,2019-10-30,3.6
MCK,2020-02-04,3.54
MCK,2020-05-20,4.1
MCK,2020-08-03,2.35
MCK,2020-11-03,3.87
MCK,2021-02-02,4.13
MCK,2021-05-06,5.02
MCK,2021-08-04,4.09
MCK,2021-11-01,4.67
MCK,2022-02-02,5.38
MCK,2022-05-05,6.06
MCK,2022-08-03,5.31
MCK,2022-11-01,6.13
MCK,2023-02-01,6.34
MCK,2023-05-08,7.16
MCK,2023-08-02,5.85
MCK,2023-11-01,6.11
MCK,2024-02-07,7.05
MCK,2024-05-07,6.34
MCK,2024-08-07,7.16
MCK,2024-11-06,6.89
MCK,2025-02-05,8.04
MCO,2015-02-06,0.94
MCO,2015-05-01,1.03
MCO,2015-07-24,1.19
MCO,2015-10-30,1.07
MCO,2016-02-05,1.05
MCO,2016-04-29,1.07
MCO,2016-07-22,1.25
MCO,2016-10-21,1.18
MCO,2017-02-17,1.12
MCO,2017-05-05,1.23
MCO,2017-07-21,1.33
MCO,2017-11-03,1.4
MCO,2018-02-09,1.45
MCO,2018-04-27,1.78
MCO,2018-07-27,1.88
MCO,2018-10-26,1.78
MCO,2019-02-15,1.71
MCO,2019-04-24,1.88
MCO,2019-07-31,1.98
MCO,2019-10-30,1.99
MCO,2020-02-12,1.92
MCO,2020-04-30,2.3
MCO,2020-07-30,2.26
MCO,2020-10-29,2.19
MCO,2021-02-12,1.97
MCO,2021-04-28,2.8
MCO,2021-07-28,2.76
MCO,2021-10-28,2.52
MCO,2022-02-10,2.38
MCO,2022-05-02,2.9
MCO,2022-07-26,2.34
MCO,2022-10-25,2.01
MCO,2023-01-31,1.42
MCO,2023-04-25,2.31
MCO,2023-07-25,2.23
MCO,2023-10-25,2.35
MCO,2024-02-13,2.34
MCO,2024-05-02,3.06
MCO,2024-07-23,3.06
MCO,2024-10-22,2.89
MCO,2025-02-13,2.6
MCRB,2015-11-10,0.28
MCRB,2016-02-25,0.4
MCRB,2016-05-16,0.44
MCRB,2016-08-11,0.42
MCRB,2016-11-10,0.55
MCRB,2017-03-16,0.7
MCRB,2017-05-04,0.65
MCRB,2017-08-03,0.59
MCRB,2017-11-08,0.38
MCRB,2018-03-08,0.73
MCRB,2018-05-09,0.75
MCRB,2018-08-02,0.69
MCRB,2018-11-08,0.57
MCRB,2019-03-06,0.72
MCRB,2019-05-02,0.43
MCRB,2019-08-06,0.42
MCRB,2019-11-05,0.26
MCRB,2020-03-02,0.26
MCRB,2020-05-07,0.29
MCRB,2020-07-28,0.26
MCRB,2020-11-09,0.24
MCRB,2021-03-02,0.26
MCRB,2021-05-04,0.33
MCRB,2021-08-03,0.41
MCRB,2021-11-10,0.47
MCRB,2022-03-01,0.45
MCRB,2022-05-04,0.56
MCRB,2022-08-03,0.58
MCRB,2022-11-02,0.45
MCRB,2023-03-07,0.41
MCRB,2023-05-09,0.57
MCRB,2023-08-08,0.55
MCRB,2023-11-02,0.47
MCRB,2024-03-05,0.4
MCRB,2024-05-08,0.36
MCRB,2024-08-13,0.28
MCRB,2024-11-13,0.25
MCRI,2015-02-25,0.14
MCRI,2015-04-22,0.23
MCRI,2015-07-22,0.27
MCRI,2015-10-22,0.27
MCRI,2016-02-24,0.23
MCRI,2016-04-20,0.26
MCRI,2016-07-20,0.33
MCRI,2016-10-25,0.39
MCRI,2017-02-22,0.31
MCRI,2017-04-25,0.3
MCRI,2017-07-25,0.38
MCRI,2017-10-24,0.45
MCRI,2018-02-20,0.39
MCRI,2018-04-26,0.38
MCRI,2018-07-24,0.49
MCRI,2018-10-24,0.57
MCRI,2019-02-20,0.42
MCRI,2019-04-24,0.38
MCRI,2019-07-24,0.43
MCRI,2019-10-30,0.62
MCRI,2020-03-11,0.4
MCRI,2020-04-22,0.28
MCRI,2020-07-22,0.6
MCRI,2020-10-29,0.24
MCRI,2021-02-24,0.57
MCRI,2021-04-28,0.41
MCRI,2021-07-28,0.7
MCRI,2021-10-25,1.01
MCRI,2022-02-09,0.9
MCRI,2022-04-20,0.85
MCRI,2022-07-20,1.08
MCRI,2022-10-19,1.26
MCRI,2023-02-14,1.24
MCRI,2023-04-19,1.0
MCRI,2023-07-19,1.18
MCRI,2023-10-18,1.46
MCRI,2024-02-14,1.04
MCRI,2024-04-17,0.98
MCRI,2024-07-24,1.11
MCRI,2024-10-23,1.37
MCRI,2025-02-11,1.15
MCS,2015-03-19,0.04
MCS,2015-07-23,0.16
MCS,2015-09-17,0.54
MCS,2015-12-17,0.21
MCS,2016-04-28,
MCS,2016-07-28,0.29
MCS,2016-10-27,0.43
MCS,2017-02-23,0.26
MCS,2017-04-27,0.31
MCS,2017-07-27,0.39
MCS,2017-10-26,0.36
MCS,2018-02-22,0.39
MCS,2018-04-26,0.36
MCS,2018-07-26,0.58
MCS,2018-10-25,0.52
MCS,2019-02-21,0.4
MCS,2019-04-25,0.06
MCS,2019-07-25,0.61
MCS,2019-10-24,0.55
MCS,2020-02-20,0.22
MCS,2020-05-05,0.4
MCS,2020-08-04,1.62
MCS,2020-11-03,1.36
MCS,2021-03-04,1.18
MCS,2021-05-05,1.21
MCS,2021-08-04,0.84
MCS,2021-11-03,0.42
MCS,2022-03-03,0.18
MCS,2022-05-05,0.36
MCS,2022-08-03,0.08
MCS,2022-11-03,0.07
MCS,2023-03-02,0.17
MCS,2023-05-04,0.22
MCS,2023-08-02,0.29
MCS,2023-11-01,0.34
MCS,2024-02-29,0.17
MCS,2024-05-02,0.38
MCS,2024-08-01,0.03
MCS,2024-10-31,0.46
MCVT,2022-08-16,
MCVT,2022-11-21,
MCVT,2023-05-22,
MCVT,2023-08-15,
MCVT,2023-11-17,
MCVT,2024-04-03,
MCVT,2024-05-16,
MCVT,2024-08-14,
MCVT,2024-11-12,
MCW,2021-08-12,0.49
MCW,2021-11-11,0.08
MCW,2022-03-24,0.07
MCW,2022-05-12,0.1
MCW,2022-08-11,0.11
MCW,2022-11-10,0.08
MCW,2023-02-23,0.05
MCW,2023-05-02,0.08
MCW,2023-08-03,0.08
MCW,2023-11-02,0.06
MCW,2024-02-21,0.06
MCW,2024-05-01,0.07
MCW,2024-07-31,0.08
MCW,2024-10-30,0.06
MCW,2025-02-19,0.06
MCY,2015-02-09,0.39
MCY,2015-04-27,0.7
MCY,2015-08-03,0.66
MCY,2015-11-02,0.58
MCY,2016-02-08,0.51
MCY,2016-05-02,0.69
MCY,2016-08-01,0.51
MCY,2016-10-31,0.53
MCY,2017-02-06,0.55
MCY,2017-05-01,0.55
MCY,2017-07-31,0.5
MCY,2017-10-30,0.42
MCY,2018-02-05,0.33
MCY,2018-04-30,0.48
MCY,2018-07-30,0.55
MCY,2018-10-29,0.6
MCY,2019-02-11,0.74
MCY,2019-04-29,0.77
MCY,2019-07-29,0.91
MCY,2019-10-28,1.0
MCY,2020-02-10,0.18
MCY,2020-05-04,0.85
MCY,2020-08-03,0.34
MCY,2020-11-03,1.42
MCY,2021-02-16,0.54
MCY,2021-05-04,1.25
MCY,2021-08-03,1.1
MCY,2021-11-02,0.8
MCY,2022-02-15,0.39
MCY,2022-05-03,0.65
MCY,2022-08-02,0.33
MCY,2022-11-01,0.55
MCY,2023-02-14,0.61
MCY,2023-05-02,1.15
MCY,2023-08-01,0.48
MCY,2023-10-31,0.01
MCY,2024-02-13,0.05
MCY,2024-04-30,0.15
MCY,2024-07-30,0.8
MCY,2024-10-29,1.15
MCY,2025-02-11,0.64
MD,2015-01-29,0.87
MD,2015-04-30,0.71
MD,2015-07-30,0.88
MD,2015-10-29,0.97
MD,2016-02-04,1.06
MD,2016-04-28,0.82
MD,2016-07-28,1.01
MD,2016-10-27,1.05
MD,2017-02-07,1.0
MD,2017-04-20,0.81
MD,2017-07-28,0.81
MD,2017-11-01,0.78
MD,2018-02-08,0.78
MD,2018-04-30,0.79
MD,2018-08-02,1.0
MD,2018-11-01,0.91
MD,2019-02-07,0.83
MD,2019-05-02,0.63
MD,2019-08-01,0.78
MD,2019-11-01,0.83
MD,2020-02-20,0.83
MD,2020-05-07,0.33
MD,2020-07-30,0.02
MD,2020-11-06,0.33
MD,2021-02-18,0.26
MD,2021-05-07,0.13
MD,2021-08-06,0.3
MD,2021-10-28,0.38
MD,2022-02-17,0.41
MD,2022-04-28,0.23
MD,2022-08-04,0.43
MD,2022-11-03,0.49
MD,2023-02-17,0.46
MD,2023-05-02,0.2
MD,2023-08-03,0.36
MD,2023-11-02,0.4
MD,2024-02-20,0.3
MD,2024-05-07,0.15
MD,2024-08-06,0.29
MD,2024-11-01,0.35
MD,2025-02-20,0.34
MDAI,2023-11-13,
MDAI,2024-03-27,
MDAI,2024-05-07,
MDAI,2024-08-12,0.14
MDAI,2024-11-06,0.14
MDB,2017-12-12,1.45
MDB,2018-03-13,0.43
MDB,2018-06-06,0.57
MDB,2018-09-05,0.58
MDB,2018-12-04,0.56
MDB,2019-03-13,0.56
MDB,2019-06-05,0.45
MDB,2019-09-04,0.51
MDB,2019-12-09,0.58
MDB,2020-03-17,0.64
MDB,2020-06-04,0.69
MDB,2020-09-02,0.89
MDB,2020-12-08,1.04
MDB,2021-03-09,1.07
MDB,2021-06-03,1.1
MDB,2021-09-02,1.24
MDB,2021-12-06,1.29
MDB,2022-03-08,1.25
MDB,2022-06-01,1.34
MDB,2022-08-31,1.52
MDB,2022-12-06,1.48
MDB,2023-03-08,1.18
MDB,2023-06-01,1.05
MDB,2023-08-31,0.7
MDB,2023-12-05,0.64
MDB,2024-03-07,0.71
MDB,2024-05-30,0.8
MDB,2024-08-29,0.75
MDB,2024-12-09,0.52
MDBH,2023-11-15,
MDBH,2024-03-29,
MDBH,2024-05-13,
MDBH,2024-08-13,
MDBH,2024-11-12,
MDCX,2024-11-22,
MDGL,2016-11-14,
MDGL,2017-04-03,
MDGL,2017-05-11,
MDGL,2017-08-10,
MDGL,2017-11-09,0.84
MDGL,2018-03-13,0.68
MDGL,2018-05-08,0.75
MDGL,2018-08-07,0.56
MDGL,2018-11-06,0.54
MDGL,2019-02-27,0.75
MDGL,2019-05-08,0.93
MDGL,2019-08-07,1.08
MDGL,2019-11-06,1.36
MDGL,2020-02-26,1.56
MDGL,2020-05-07,1.94
MDGL,2020-08-06,2.42
MDGL,2020-11-05,3.35
MDGL,2021-02-25,3.82
MDGL,2021-05-06,3.78
MDGL,2021-08-05,3.55
MDGL,2021-11-04,3.89
MDGL,2022-02-24,3.92
MDGL,2022-05-09,3.75
MDGL,2022-08-04,3.76
MDGL,2022-11-03,4.05
MDGL,2023-02-23,4.41
MDGL,2023-05-09,4.98
MDGL,2023-08-08,4.47
MDGL,2023-11-06,4.78
MDGL,2024-02-28,5.32
MDGL,2024-05-07,6.06
MDGL,2024-08-07,7.55
MDGL,2024-10-31,6.94
MDIA,2020-11-13,
MDIA,2021-05-24,
MDIA,2021-08-13,
MDIA,2021-11-12,
MDIA,2022-03-24,
MDIA,2022-05-12,
MDIA,2022-08-12,
MDIA,2022-11-14,
MDIA,2023-05-11,
MDIA,2023-08-10,
MDIA,2023-11-13,
MDIA,2024-05-15,
MDIA,2024-09-18,
MDIA,2024-11-14,
MDLZ,2015-02-11,0.43
MDLZ,2015-04-29,0.37
MDLZ,2015-07-30,0.39
MDLZ,2015-10-28,0.39
MDLZ,2016-02-03,0.49
MDLZ,2016-04-27,0.4
MDLZ,2016-07-27,0.4
MDLZ,2016-10-26,0.43
MDLZ,2017-02-07,0.49
MDLZ,2017-05-02,0.5
MDLZ,2017-08-02,0.46
MDLZ,2017-10-30,0.54
MDLZ,2018-01-31,0.56
MDLZ,2018-05-01,0.61
MDLZ,2018-07-25,0.54
MDLZ,2018-10-29,0.61
MDLZ,2019-01-30,0.63
MDLZ,2019-04-30,0.61
MDLZ,2019-07-30,0.57
MDLZ,2019-10-29,0.61
MDLZ,2020-01-29,0.6
MDLZ,2020-04-28,0.65
MDLZ,2020-07-28,0.56
MDLZ,2020-11-02,0.63
MDLZ,2021-01-28,0.67
MDLZ,2021-04-27,0.69
MDLZ,2021-07-27,0.66
MDLZ,2021-11-02,0.7
MDLZ,2022-01-27,0.72
MDLZ,2022-04-26,0.74
MDLZ,2022-07-26,0.64
MDLZ,2022-11-01,0.68
MDLZ,2023-01-31,0.71
MDLZ,2023-04-27,0.8
MDLZ,2023-07-27,0.69
MDLZ,2023-11-01,0.78
MDLZ,2024-01-30,0.78
MDLZ,2024-04-30,0.88
MDLZ,2024-07-30,0.78
MDLZ,2024-10-29,0.85
MDLZ,2025-02-04,0.66
MDRR,2019-05-15,
MDRR,2019-08-13,0.01
MDRR,2019-11-05,0.09
MDRR,2020-03-04,
MDRR,2020-05-14,
MDRR,2020-08-13,
MDRR,2020-11-13,
MDRR,2021-03-11,
MDRR,2021-05-14,
MDRR,2021-08-10,
MDRR,2021-11-15,0.03
MDRR,2022-03-15,
MDRR,2022-05-09,
MDRR,2022-08-09,
MDRR,2022-11-09,
MDRR,2023-03-10,
MDRR,2023-05-11,
MDRR,2023-08-09,
MDRR,2023-11-13,
MDRR,2024-03-06,
MDRR,2024-05-09,
MDRR,2024-08-09,
MDRR,2024-11-12,
MDT,2015-02-17,0.97
MDT,2015-06-02,1.11
MDT,2015-09-03,1.01
MDT,2015-12-03,1.0
MDT,2016-03-01,1.06
MDT,2016-05-31,1.26
MDT,2016-08-25,1.01
MDT,2016-11-22,1.11
MDT,2017-02-21,1.11
MDT,2017-05-25,1.31
MDT,2017-08-22,1.08
MDT,2017-11-21,0.99
MDT,2018-02-20,1.16
MDT,2018-05-24,1.38
MDT,2018-08-21,1.11
MDT,2018-11-20,1.14
MDT,2019-02-19,1.24
MDT,2019-05-23,1.46
MDT,2019-08-20,1.18
MDT,2019-11-19,1.28
MDT,2020-02-18,1.38
MDT,2020-05-21,0.59
MDT,2020-08-25,0.21
MDT,2020-11-24,0.78
MDT,2021-02-23,1.15
MDT,2021-05-27,1.42
MDT,2021-08-24,1.32
MDT,2021-11-23,1.29
MDT,2022-02-22,1.36
MDT,2022-05-26,1.56
MDT,2022-08-23,1.12
MDT,2022-11-22,1.28
MDT,2023-02-21,1.26
MDT,2023-05-25,1.56
MDT,2023-08-22,1.11
MDT,2023-11-21,1.18
MDT,2024-02-20,1.26
MDT,2024-05-23,1.45
MDT,2024-08-20,1.2
MDT,2024-11-19,1.24
MDT,2025-02-18,1.36
MDU,2015-02-02,0.4
MDU,2015-05-04,0.19
MDU,2015-08-03,0.18
MDU,2015-11-02,0.37
MDU,2016-02-03,0.27
MDU,2016-05-03,0.13
MDU,2016-08-02,0.2
MDU,2016-11-02,0.43
MDU,2017-02-01,0.29
MDU,2017-05-03,0.19
MDU,2017-08-01,0.25
MDU,2017-11-01,0.5
MDU,2018-02-06,0.34
MDU,2018-05-02,0.21
MDU,2018-07-31,0.28
MDU,2018-10-31,0.56
MDU,2019-02-05,0.42
MDU,2019-04-30,0.24
MDU,2019-10-29,
MDU,2020-02-04,
MDU,2020-05-07,
MDU,2020-08-04,
MDU,2020-11-04,
MDU,2021-02-03,
MDU,2021-05-05,0.2
MDU,2021-08-04,0.53
MDU,2021-11-03,0.79
MDU,2022-02-09,0.55
MDU,2022-05-04,0.17
MDU,2022-08-04,0.49
MDU,2022-11-03,0.69
MDU,2023-02-09,0.51
MDU,2023-05-04,
MDU,2023-08-03,
MDU,2023-11-02,
MDU,2024-02-08,
MDU,2024-05-02,
MDU,2024-08-08,
MDU,2024-11-07,0.31
MDU,2025-02-06,0.38
MDV,2022-03-23,
MDV,2022-05-16,0.19
MDV,2022-08-11,0.28
MDV,2022-11-14,0.35
MDV,2023-02-23,0.33
MDV,2023-05-15,0.33
MDV,2023-08-14,0.33
MDV,2023-11-13,0.32
MDV,2024-03-04,0.38
MDV,2024-05-02,0.33
MDV,2024-08-06,0.31
MDV,2024-11-06,0.34
MDWD,2015-02-12,0.27
MDWD,2015-05-04,0.3
MDWD,2015-08-03,0.28
MDWD,2015-10-27,0.31
MDWD,2016-01-25,0.23
MDWD,2016-04-21,0.25
MDWD,2016-07-28,0.23
MDWD,2016-11-14,0.26
MDWD,2017-02-21,0.24
MDWD,2017-05-08,0.17
MDWD,2017-08-03,0.19
MDWD,2017-11-16,0.19
MDWD,2018-03-19,0.16
MDWD,2018-05-10,0.17
MDWD,2018-08-07,0.2
MDWD,2018-11-13,0.19
MDWD,2019-03-25,0.15
MDWD,2019-05-21,0.14
MDWD,2019-08-13,0.15
MDWD,2019-11-14,0.13
MDWD,2020-02-25,0.12
MDWD,2020-05-20,0.14
MDWD,2020-08-06,0.11
MDWD,2020-11-10,0.07
MDWD,2021-02-25,0.11
MDWD,2021-05-05,0.12
MDWD,2021-08-10,0.11
MDWD,2022-03-17,0.16
MDWD,2022-05-17,0.11
MDWD,2022-08-09,0.1
MDWD,2022-11-15,0.1
MDWD,2023-03-16,0.19
MDWD,2023-05-30,0.31
MDWD,2023-08-15,0.41
MDWD,2023-11-21,0.45
MDWD,2024-03-21,0.23
MDWD,2024-05-29,0.4
MDWD,2024-08-14,0.42
MDWD,2024-11-26,0.48
MDXG,2015-02-26,0.03
MDXG,2015-04-27,0.03
MDXG,2015-07-30,0.04
MDXG,2015-10-29,0.06
MDXG,2016-02-23,0.05
MDXG,2016-04-25,0.05
MDXG,2016-07-26,0.04
MDXG,2016-10-27,0.06
MDXG,2017-02-23,0.04
MDXG,2017-04-28,
MDXG,2017-07-26,0.07
MDXG,2017-10-26,0.05
MDXG,2020-03-17,
MDXG,2020-07-06,
MDXG,2020-08-04,
MDXG,2020-11-04,
MDXG,2021-03-08,0.05
MDXG,2021-04-28,0.19
MDXG,2021-08-03,0.07
MDXG,2021-11-02,0.08
MDXG,2022-02-28,0.03
MDXG,2022-05-03,0.1
MDXG,2022-08-02,0.06
MDXG,2022-11-02,0.09
MDXG,2023-02-28,0.02
MDXG,2023-05-02,0.09
MDXG,2023-08-01,0.02
MDXG,2023-10-30,0.04
MDXG,2024-02-28,0.08
MDXG,2024-04-30,0.04
MDXG,2024-07-31,0.08
MDXG,2024-10-30,0.05
MDXH,2022-04-27,0.55
MDXH,2022-08-25,0.55
MDXH,2022-10-27,0.55
MDXH,2023-03-08,0.75
MDXH,2023-05-15,0.4
MDXH,2023-08-23,0.32
